Origin/Destination,start station name,Route,start station latitude,start station longitude
Origin,Grove St PATH,Grove St PATH_to_Manila & 1st,40.71958612,-74.04311746
Destination,Manila & 1st,Grove St PATH_to_Manila & 1st,40.72165072,-74.04288411
Origin,Grove St PATH,Grove St PATH_to_Marin Light Rail,40.71958612,-74.04311746
Destination,Marin Light Rail,Grove St PATH_to_Marin Light Rail,40.71458404,-74.04281706
Origin,Grove St PATH,Grove St PATH_to_McGinley Square,40.71958612,-74.04311746
Destination,McGinley Square,Grove St PATH_to_McGinley Square,40.72533993,-74.06762213
Origin,Grove St PATH,Grove St PATH_to_Monmouth and 6th,40.71958612,-74.04311746
Destination,Monmouth and 6th,Grove St PATH_to_Monmouth and 6th,40.72568548,-74.04879034
Origin,Grove St PATH,Grove St PATH_to_Montgomery St,40.71958612,-74.04311746
Destination,Montgomery St,Grove St PATH_to_Montgomery St,40.71942,-74.05099
Origin,Grove St PATH,Grove St PATH_to_Morris Canal,40.71958612,-74.04311746
Destination,Morris Canal,Grove St PATH_to_Morris Canal,40.71241882,-74.03852552
Origin,Grove St PATH,Grove St PATH_to_Newark Ave,40.71958612,-74.04311746
Destination,Newark Ave,Grove St PATH_to_Newark Ave,40.72152515,-74.04630454
Origin,Grove St PATH,Grove St PATH_to_Newport PATH,40.71958612,-74.04311746
Destination,Newport PATH,Grove St PATH_to_Newport PATH,40.7272235,-74.0337589
Origin,Grove St PATH,Grove St PATH_to_Newport Pkwy,40.71958612,-74.04311746
Destination,Newport Pkwy,Grove St PATH_to_Newport Pkwy,40.7287448,-74.0321082
Origin,Grove St PATH,Grove St PATH_to_Oakland Ave,40.71958612,-74.04311746
Destination,Oakland Ave,Grove St PATH_to_Oakland Ave,40.7376037,-74.0524783
Origin,Grove St PATH,Grove St PATH_to_Paulus Hook,40.71958612,-74.04311746
Destination,Paulus Hook,Grove St PATH_to_Paulus Hook,40.7141454,-74.0335519
Origin,Grove St PATH,Grove St PATH_to_Pershing Field,40.71958612,-74.04311746
Destination,Pershing Field,Grove St PATH_to_Pershing Field,40.74267714,-74.05178863
Origin,Grove St PATH,Grove St PATH_to_Riverview Park,40.71958612,-74.04311746
Destination,Riverview Park,Grove St PATH_to_Riverview Park,40.7443187,-74.0439909
Origin,Grove St PATH,Grove St PATH_to_Sip Ave,40.71958612,-74.04311746
Destination,Sip Ave,Grove St PATH_to_Sip Ave,40.73085296,-74.06387585
Origin,Grove St PATH,Grove St PATH_to_Union St,40.71958612,-74.04311746
Destination,Union St,Grove St PATH_to_Union St,40.7182113,-74.0836394
Origin,Grove St PATH,Grove St PATH_to_Van Vorst Park,40.71958612,-74.04311746
Destination,Van Vorst Park,Grove St PATH_to_Van Vorst Park,40.71848892,-74.04772663
Origin,Grove St PATH,Grove St PATH_to_Warren St,40.71958612,-74.04311746
Destination,Warren St,Grove St PATH_to_Warren St,40.7211236,-74.03805095
Origin,Grove St PATH,Grove St PATH_to_Washington St,40.71958612,-74.04311746
Destination,Washington St,Grove St PATH_to_Washington St,40.7242941,-74.0354826
Origin,Grove St PATH,Grove St PATH_to_York St,40.71958612,-74.04311746
Destination,York St,Grove St PATH_to_York St,40.71649,-74.04105
Origin,Hamilton Park,Hamilton Park_to_Hamilton Park,40.72759597,-74.04424731
Destination,Hamilton Park,Hamilton Park_to_Hamilton Park,40.72115185,-74.04210998
Origin,Hamilton Park,Hamilton Park_to_5 Corners Library,40.72759597,-74.04424731
Destination,5 Corners Library,Hamilton Park_to_5 Corners Library,40.73496102,-74.05950308
Origin,Hamilton Park,Hamilton Park_to_Astor Place,40.72759597,-74.04424731
Destination,Astor Place,Hamilton Park_to_Astor Place,40.7192822,-74.07126188
Origin,Hamilton Park,Hamilton Park_to_Baldwin at Montgomery,40.72759597,-74.04424731
Destination,Baldwin at Montgomery,Hamilton Park_to_Baldwin at Montgomery,40.7236589,-74.0641943
Origin,Hamilton Park,Hamilton Park_to_Bergen Ave,40.72759597,-74.04424731
Destination,Bergen Ave,Hamilton Park_to_Bergen Ave,40.72210379,-74.071455
Origin,Hamilton Park,Hamilton Park_to_Brunswick & 6th,40.72759597,-74.04424731
Destination,Brunswick & 6th,Hamilton Park_to_Brunswick & 6th,40.72601173,-74.05038893
Origin,Hamilton Park,Hamilton Park_to_Brunswick St,40.72759597,-74.04424731
Destination,Brunswick St,Hamilton Park_to_Brunswick St,40.7241765,-74.0506564
Origin,Hamilton Park,Hamilton Park_to_Christ Hospital,40.72759597,-74.04424731
Destination,Christ Hospital,Hamilton Park_to_Christ Hospital,40.73478582,-74.05044364
Origin,Hamilton Park,Hamilton Park_to_City Hall,40.72759597,-74.04424731
Destination,City Hall,Hamilton Park_to_City Hall,40.7177325,-74.043845
Origin,Hamilton Park,Hamilton Park_to_Columbus Drive,40.72759597,-74.04424731
Destination,Columbus Drive,Hamilton Park_to_Columbus Drive,40.7183552,-74.03891444
Origin,Hamilton Park,Hamilton Park_to_Dixon Mills,40.72759597,-74.04424731
Destination,Dixon Mills,Hamilton Park_to_Dixon Mills,40.72163014,-74.04996783
Origin,Hamilton Park,Hamilton Park_to_Essex Light Rail,40.72759597,-74.04424731
Destination,Essex Light Rail,Hamilton Park_to_Essex Light Rail,40.7127742,-74.0364857
Origin,Hamilton Park,Hamilton Park_to_Exchange Place,40.72759597,-74.04424731
Destination,Exchange Place,Hamilton Park_to_Exchange Place,40.7162469,-74.0334588
Origin,Hamilton Park,Hamilton Park_to_Glenwood Ave,40.72759597,-74.04424731
Destination,Glenwood Ave,Hamilton Park_to_Glenwood Ave,40.72755147,-74.07106072
Origin,Hamilton Park,Hamilton Park_to_Grand St,40.72759597,-74.04424731
Destination,Grand St,Hamilton Park_to_Grand St,40.71517768,-74.03768331
Origin,Hamilton Park,Hamilton Park_to_Grove St PATH,40.72759597,-74.04424731
Destination,Grove St PATH,Hamilton Park_to_Grove St PATH,40.71958612,-74.04311746
Origin,Hamilton Park,Hamilton Park_to_Hamilton Park,40.72759597,-74.04424731
Destination,Hamilton Park,Hamilton Park_to_Hamilton Park,40.72759597,-74.04424731
Origin,Hamilton Park,Hamilton Park_to_Harborside,40.72759597,-74.04424731
Destination,Harborside,Hamilton Park_to_Harborside,40.7192517,-74.034234
Origin,Hamilton Park,Hamilton Park_to_Heights Elevator,40.72759597,-74.04424731
Destination,Heights Elevator,Hamilton Park_to_Heights Elevator,40.74871595,-74.0404433
Origin,Hamilton Park,Hamilton Park_to_Hilltop,40.72759597,-74.04424731
Destination,Hilltop,Hamilton Park_to_Hilltop,40.7311689,-74.0575736
Origin,Hamilton Park,Hamilton Park_to_Hoboken Ave at Monmouth St,40.72759597,-74.04424731
Destination,Hoboken Ave at Monmouth St,Hamilton Park_to_Hoboken Ave at Monmouth St,40.73520838,-74.04696375
Origin,Hamilton Park,Hamilton Park_to_Jackson Square,40.72759597,-74.04424731
